epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,1.130268745851864,1.1038836628271402,0.6289344930599187,0.6041478809738503,0.7216809628146528,0.7053538687202053
2,1.0431151923026076,0.9901898011959791,0.6638892284536426,0.6534039675383229,0.7438611971502364,0.7391822515584892
3,0.8614023644594709,0.80020454572416,0.7269648855928076,0.7162984670874661,0.8021447004575804,0.7957462412907957
4,0.7899141687071316,0.7167127801680242,0.7487539721558261,0.741546438232642,0.8240262595823911,0.8193986065273194
5,0.5860658696594995,0.509933642897623,0.7945613078917042,0.7941839495040577,0.8502546305726056,0.8497433076640998
6,0.5322551635818679,0.44800230813661474,0.8107618517231945,0.8112037871956718,0.8623855269030385,0.8623945727906124
7,0.5211141820451564,0.4253990998748525,0.8161365994584997,0.8177412082957619,0.8680600064127711,0.8688118811881188
8,0.49585389443897476,0.3887318196375046,0.8297847441836247,0.8292380522993688,0.8772802663527951,0.8772460579391272
9,0.46539643276872095,0.34636573174161184,0.844124261360989,0.8441163210099188,0.8875167690771374,0.8877887788778878
10,0.46868516152850875,0.3390768771668751,0.8458352828786803,0.8464833183047791,0.8873875147641739,0.8878804547121378
11,0.4132311723124973,0.2760000886611996,0.8653863683774041,0.8640667267808837,0.9055382002883977,0.9053905390539054
12,0.39621256946359246,0.25295524371445693,0.8718564104555966,0.8713931469792606,0.9076818771716999,0.9077741107444077
13,0.4205395278028818,0.2675114064224079,0.8668535160042415,0.8658701532912534,0.9019517652177397,0.9018151815181518
14,0.4318184713608049,0.26749572834189184,0.8662532794548184,0.8650811541929666,0.9026739093413605,0.9023652365236524
15,0.49847916802166664,0.31313318730980844,0.849124390236091,0.8489630297565374,0.8923406347150846,0.8922808947561423
16,0.5870675215985847,0.4462414767308125,0.8236668337091073,0.8215734896302975,0.877368322474674,0.8766960029336267
17,0.4689769997966449,0.3095697938038461,0.8540882013178667,0.8513300270513977,0.8950811874833893,0.8941144114411441
18,0.48092490601441157,0.31541434232225835,0.8504583974565156,0.8482867448151488,0.8860678188340098,0.8851301796846351
19,0.3961385514220687,0.2215902103148489,0.8766131776044714,0.8751127141568981,0.9136980939795286,0.9134580124679135
20,0.41036329016709494,0.22880042393331795,0.8746352481212488,0.8730838593327321,0.9110795621928034,0.9107077374404107
21,0.4577501711100077,0.2543730208713512,0.861530292792418,0.8600090171325518,0.904710282244532,0.9043821048771544
22,0.43107355511003703,0.2387242553362568,0.8672584008592107,0.8659828674481514,0.9046843193323394,0.9045654565456546
23,0.39775378208643375,0.1857835817473882,0.882491332993896,0.8815374211000901,0.9163489419843633,0.9162082874954162
24,0.48183229806703654,0.25148418470675354,0.8711062350949164,0.8682371505861136,0.9061706979837719,0.9053905390539054
25,0.7710878934048765,0.6243217132411523,0.7695022725968407,0.7667944093778178,0.8180640334161435,0.8153648698203154
26,0.45678574446104403,0.2876379678264172,0.8539081731909514,0.8535843101893598,0.8918268745691593,0.8916391639163916
27,0.47398173751735584,0.28610633839820765,0.8515047911546013,0.8520063119927863,0.8947215112447593,0.8948478181151448
28,0.5151515310594966,0.3066533730785474,0.8452030509104755,0.8446798917944094,0.8872587202294918,0.886963696369637
29,0.5366755822603375,0.31250174539605374,0.8435508532530152,0.8431018935978359,0.8931736423035804,0.8928309497616428
30,0.5227705658961921,0.2973349564701025,0.8508771242975793,0.8502028854824166,0.8988576121879692,0.8984231756508985
