epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,1.1834888654407336,1.1975060013683694,0.5999490086405124,0.5903967538322813,0.6875951394726638,0.6843601026769344
2,1.093848605755337,1.1026046333574273,0.6278110191013436,0.6207168620378719,0.7169702229156341,0.7140630729739641
3,1.0881607223158016,1.0903791747708393,0.6333595875259096,0.6237601442741209,0.7207915479374851,0.716996699669967
4,1.0839721419624968,1.0792728132040161,0.6409621932481189,0.6280432822362488,0.7268358497925518,0.7210304363769711
5,1.0330859253534737,1.0221729448977157,0.6555949478440215,0.6451758340847611,0.7411580446844459,0.7367070040337367
6,0.9748408369214071,0.9592372687936761,0.6753215547586995,0.6661406672678089,0.7602407546360098,0.757059039237257
7,0.9739248265659471,0.9525012068307599,0.6768497236852957,0.6667042380522994,0.7629851263326815,0.7588925559222589
8,1.005809301878363,0.9809874409934624,0.6696954314132559,0.6618575293056808,0.7540047062448025,0.7527502750275028
9,0.9729390447838085,0.9436990427039295,0.6816271653632002,0.672678088367899,0.7680511351356846,0.7645764576457645
10,0.9749059720812946,0.9403249224840436,0.6802289449312823,0.6729035166816952,0.7653473836087878,0.7651265126512651
11,0.910197711534279,0.8697192438682314,0.6976488204842044,0.6915013525698828,0.7824751955069996,0.7812614594792813
12,0.9249355542343203,0.8793126625364388,0.6945032273721855,0.6900360685302074,0.7786230854140986,0.7798863219655299
