epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,2.250029487221763,2.250275798066094,0.17151415842521958,0.19837691614066727,0.1935942650231885,0.21699669966996699
2,2.183659256890934,2.1833498921315133,0.3301573826464821,0.3414111812443643,0.37164719834659016,0.382013201320132
3,2.1015612910360018,2.1004482687936656,0.42701138253282317,0.43394950405770966,0.4895411477218838,0.4966079941327466
4,2.00050795306369,1.998200739449988,0.4675405879126572,0.4770063119927863,0.5458578255411517,0.5533553355335533
5,1.8902126690920338,1.8864639556216571,0.49781657033513016,0.5068755635707844,0.5832328597061133,0.5906674000733406
6,1.7792253329711036,1.7731130161044233,0.5195397963079329,0.5272768259693418,0.6031236549245768,0.61001100110011
7,1.6781614593808156,1.6694873495469493,0.5406916175052426,0.5462128043282236,0.6229467910758268,0.6284378437843784
8,1.5914313427619962,1.5804139441240175,0.5568974104948574,0.5600766456266907,0.6397495538418372,0.6442977631096443
