epoch,loss_validation,loss_train,f1,accuracy
1,2.102926383833098,2.100067047320936,0.23020859649453168,0.2696122633002705
2,1.8733352806023134,1.866807389477552,0.36874857079251966,0.38288999098286747
3,1.6619412578580894,1.6496316978644605,0.4471829471882602,0.45513976555455365
4,1.4787711617480148,1.4603391485956692,0.5151441769873429,0.5206266907123535
5,1.3388635596152427,1.3169719454123832,0.5567962456613225,0.5603020739404869
6,1.2364891362893708,1.2125607246726453,0.5863928392279406,0.5878043282236249
7,1.1660093626712844,1.1398342640961838,0.6047762246785081,0.6050495942290351
8,1.1011807207470572,1.0728130790214359,0.6209771099103168,0.6203787195671776
9,1.0562003991741442,1.025780502034342,0.6350755698985651,0.6339044183949504
10,1.0256845108231891,0.9927948421908385,0.6417930155510353,0.6395401262398557
11,0.9925505317268432,0.9572894621005757,0.6503657287722195,0.6478809738503156
12,0.9757447524272972,0.9377683771629728,0.65293829799639,0.6500225428313796
13,0.9525971866525186,0.9120626435476523,0.6600510952692806,0.6568981064021641
14,0.9369155388315676,0.8952981654360999,0.6658226555391147,0.6618575293056808
15,0.9159273758781179,0.8717212056292327,0.6762300691884146,0.6725653742110009
16,0.9143353081135753,0.8674975927399564,0.6780770332590527,0.6739179440937781
17,0.9025273157258725,0.8532031327792765,0.682540945833102,0.6784265103697025
18,0.8851638248944446,0.8336867471438132,0.6871864870581594,0.6829350766456267
19,0.8600200350270838,0.8066221323142573,0.699665810928676,0.6949954914337241
20,0.8612910238616904,0.8050601112643281,0.6987049602820535,0.6937556357078449
21,0.8477070897838921,0.7888697400829451,0.7049604786353884,0.7005184851217313
22,0.8448478422167628,0.7832277484114023,0.7063587323903977,0.701307484220018
23,0.8546525356846765,0.7891378459922516,0.7051530909455775,0.6999549143372408
24,0.8134161120267486,0.7462106771520044,0.717845538985973,0.7135933273219116
25,0.8468004153119615,0.7761857874685345,0.7095983014859485,0.7045761947700632
26,0.8527984888874103,0.7795087243712905,0.7057873405624241,0.7010820559062219
27,0.8444807201684811,0.7701059881502637,0.7105946042424265,0.7055906221821461
28,0.8308673712957914,0.7528725531228951,0.7174792331342891,0.7124661857529305
29,0.8341624202087202,0.7535994754194764,0.7151771419270381,0.7104373309287646
30,0.8407524936649976,0.7579572240497732,0.7125312835989217,0.7073940486925158
