epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,0.994433652623248,1.0085252676375165,0.6892802618294676,0.6943192064923355,0.7353543842786977,0.743032636596993
2,0.8465944402166945,0.8617378437170948,0.7261683709797118,0.7286970243462579,0.7771556278916792,0.7813531353135313
3,0.794691326883196,0.8087189905260055,0.7388976756463375,0.7410955816050496,0.7925881324877023,0.7959295929592959
4,0.764033179251269,0.7770652518396852,0.7493541303265838,0.7512398557258791,0.8018501131861926,0.8046387972130546
5,0.741721034319975,0.7538574547635691,0.7561120215196763,0.7576645626690712,0.8102212643938197,0.8126145947928126
6,0.7245737988711942,0.7353423523808338,0.7608749989990636,0.7621731289449954,0.8162004845668835,0.8183901723505684
7,0.7102205394644655,0.7199192751610238,0.765084119751577,0.7662308385933273,0.8206575796935087,0.8226072607260726
8,0.697630174326967,0.7064836402041655,0.770016653499817,0.7708521190261497,0.8255064942319148,0.8273744041070774
