Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,4.760000,4.780000,4.510000,4.530000,4.469013,47979400
2022-03-08,4.720000,4.820000,4.610000,4.710000,4.646589,50710900
2022-03-09,4.900000,4.960000,4.840000,4.910000,4.843897,36989000
2022-03-10,4.860000,4.920000,4.800000,4.850000,4.784704,25449600
2022-03-11,4.960000,4.980000,4.810000,4.810000,4.745243,24625700
2022-03-14,5.050000,5.100000,4.980000,5.020000,4.952416,36673600
2022-03-15,5.070000,5.100000,5.020000,5.100000,5.031339,26503800
2022-03-16,5.240000,5.260000,5.100000,5.260000,5.189185,32842100
2022-03-17,5.270000,5.330000,5.240000,5.320000,5.248377,22962000
2022-03-18,5.220000,5.340000,5.220000,5.330000,5.258242,20828300
2022-03-21,5.330000,5.360000,5.260000,5.300000,5.228646,20785300
2022-03-22,5.360000,5.390000,5.320000,5.370000,5.297704,25156700
2022-03-23,5.310000,5.340000,5.250000,5.280000,5.208916,17479200
2022-03-24,5.300000,5.360000,5.280000,5.340000,5.268107,17752300
2022-03-25,5.330000,5.380000,5.310000,5.370000,5.297704,18601200
2022-03-28,5.370000,5.400000,5.320000,5.390000,5.317435,17026300
2022-03-29,5.560000,5.580000,5.470000,5.530000,5.455550,23298200
2022-03-30,5.550000,5.600000,5.530000,5.530000,5.455550,25986500
2022-03-31,5.520000,5.540000,5.460000,5.460000,5.386492,18254600
2022-04-01,5.530000,5.550000,5.480000,5.550000,5.475281,17550400
2022-04-04,5.570000,5.590000,5.550000,5.590000,5.514742,14702400
2022-04-05,5.560000,5.570000,5.500000,5.520000,5.445684,26184200
2022-04-06,5.460000,5.470000,5.360000,5.410000,5.337165,24163800
2022-04-07,5.430000,5.450000,5.350000,5.440000,5.366762,22521000
2022-04-08,5.410000,5.450000,5.360000,5.370000,5.297704,16916400
2022-04-11,5.330000,5.360000,5.280000,5.290000,5.218781,19077300
2022-04-12,5.270000,5.310000,5.150000,5.180000,5.110261,22544600
2022-04-13,5.220000,5.250000,5.180000,5.250000,5.179319,22584400
2022-04-14,5.240000,5.270000,5.100000,5.110000,5.041204,21080800
2022-04-18,5.070000,5.130000,5.030000,5.100000,5.031339,15062300
2022-04-19,5.150000,5.230000,5.140000,5.200000,5.129992,24988700
2022-04-20,5.330000,5.350000,5.290000,5.330000,5.258242,28273200
2022-04-21,5.400000,5.410000,5.270000,5.270000,5.199050,30061800
2022-04-22,5.280000,5.280000,5.120000,5.140000,5.070800,34457000
2022-04-25,5.120000,5.220000,5.080000,5.210000,5.139858,40947400
2022-04-26,5.210000,5.220000,5.080000,5.090000,5.021474,31870800
2022-04-27,5.070000,5.110000,5.000000,5.040000,4.972147,45674900
2022-04-28,5.030000,5.040000,4.750000,4.900000,4.834031,60763600
2022-04-29,5.060000,5.120000,5.030000,5.040000,4.972147,42409400
2022-05-02,4.970000,5.140000,4.960000,5.130000,5.082111,56168800
2022-05-03,5.140000,5.280000,5.130000,5.230000,5.181177,46478000
2022-05-04,5.190000,5.340000,5.160000,5.330000,5.280243,28011200
2022-05-05,5.180000,5.220000,5.070000,5.110000,5.062297,45501500
2022-05-06,5.040000,5.050000,4.930000,4.960000,4.913697,42865200
2022-05-09,4.850000,4.890000,4.760000,4.780000,4.735378,38416100
2022-05-10,4.840000,4.860000,4.730000,4.810000,4.765098,39593100
2022-05-11,4.800000,4.890000,4.690000,4.690000,4.646218,47786100
2022-05-12,4.630000,4.720000,4.580000,4.670000,4.626405,48509900
2022-05-13,4.790000,4.910000,4.790000,4.880000,4.834444,25335500
2022-05-16,4.880000,4.920000,4.840000,4.880000,4.834444,31238000
2022-05-17,4.960000,5.050000,4.950000,5.040000,4.992951,26692600
2022-05-18,5.000000,5.020000,4.830000,4.860000,4.814631,35275200
2022-05-19,4.770000,4.870000,4.730000,4.800000,4.755191,41833300
2022-05-20,4.880000,4.900000,4.720000,4.830000,4.784911,36037700
2022-05-23,4.880000,4.960000,4.840000,4.930000,4.883977,30988400
2022-05-24,4.900000,4.930000,4.860000,4.900000,4.854258,33970800
2022-05-25,4.880000,4.960000,4.860000,4.930000,4.883977,33097900
2022-05-26,4.940000,5.110000,4.940000,5.090000,5.042484,36661500
2022-05-27,5.100000,5.150000,5.070000,5.140000,5.092017,19403100
2022-05-31,5.040000,5.070000,4.990000,5.010000,4.963231,33552200
2022-06-01,5.010000,5.040000,4.920000,4.970000,4.923604,38040600
2022-06-02,4.990000,5.090000,4.960000,5.090000,5.042484,28923800
2022-06-03,5.030000,5.060000,5.000000,5.040000,4.992951,29687900
2022-06-06,5.060000,5.090000,4.990000,5.000000,4.953324,32119400
2022-06-07,4.990000,5.070000,4.960000,5.070000,5.022671,28128000
2022-06-08,5.010000,5.050000,4.990000,5.010000,4.963231,24280400
2022-06-09,4.950000,4.980000,4.850000,4.850000,4.804724,35493900
2022-06-10,4.740000,4.760000,4.680000,4.700000,4.656124,45863300
2022-06-13,4.630000,4.670000,4.560000,4.570000,4.527338,46380400
2022-06-14,4.760000,4.780000,4.630000,4.670000,4.626405,41501400
2022-06-15,4.710000,4.820000,4.660000,4.760000,4.715565,41937200
2022-06-16,4.620000,4.650000,4.560000,4.580000,4.537245,51041800
2022-06-17,4.650000,4.670000,4.550000,4.590000,4.547152,53596800
2022-06-21,4.730000,4.780000,4.700000,4.710000,4.666031,28100300
2022-06-22,4.680000,4.740000,4.670000,4.680000,4.636311,38534800
2022-06-23,4.640000,4.680000,4.580000,4.670000,4.626405,41369400
2022-06-24,4.690000,4.830000,4.680000,4.810000,4.765098,22890000
2022-06-27,4.840000,4.870000,4.780000,4.820000,4.775005,30702300
2022-06-28,4.840000,4.870000,4.740000,4.750000,4.705657,31195000
2022-06-29,4.760000,4.770000,4.680000,4.710000,4.666031,30976400
2022-06-30,4.600000,4.650000,4.550000,4.610000,4.566965,29242000
2022-07-01,4.610000,4.660000,4.540000,4.660000,4.616498,31178700
2022-07-05,4.470000,4.550000,4.410000,4.550000,4.507525,39648300
2022-07-06,4.510000,4.580000,4.480000,4.560000,4.517432,27760300
2022-07-07,4.580000,4.640000,4.570000,4.630000,4.586778,15795400
2022-07-08,4.610000,4.690000,4.590000,4.650000,4.606592,15861400
2022-07-11,4.590000,4.660000,4.580000,4.610000,4.566965,19140000
2022-07-12,4.600000,4.650000,4.560000,4.570000,4.527338,21726900
2022-07-13,4.520000,4.610000,4.510000,4.600000,4.557058,24229500
2022-07-14,4.440000,4.470000,4.370000,4.460000,4.418365,29844500
2022-07-15,4.530000,4.610000,4.500000,4.610000,4.566965,19344900
2022-07-18,4.630000,4.660000,4.560000,4.570000,4.527338,23160100
2022-07-19,4.570000,4.690000,4.560000,4.680000,4.636311,20809600
2022-07-20,4.680000,4.720000,4.640000,4.700000,4.656124,22249300
2022-07-21,4.970000,5.140000,4.960000,5.120000,5.072204,37441000
2022-07-22,5.090000,5.160000,5.080000,5.100000,5.052390,25884900
2022-07-25,5.120000,5.170000,5.080000,5.110000,5.062297,23800700
2022-07-26,5.080000,5.090000,5.030000,5.040000,4.992951,17309100
2022-07-27,5.120000,5.210000,5.100000,5.170000,5.121737,23703400
2022-07-28,5.150000,5.200000,5.130000,5.200000,5.151457,18611600
2022-07-29,5.190000,5.200000,5.150000,5.180000,5.131643,16225000
2022-08-01,5.220000,5.270000,5.190000,5.230000,5.181177,27484300
2022-08-02,5.170000,5.210000,5.150000,5.150000,5.101924,29076500
2022-08-03,5.170000,5.220000,5.150000,5.220000,5.171270,24190200
